product,brand,manufacturer,vendor,pack_size_raw,class,latest_price_per_case_usd,case_price_delta_pct,price_per_lb_delta_pct,total_spend_usd,est_units_per_case,est_unit_size,est_uom,est_case_weight_lb,est_dimension,est_price_per_lb_usd,flags
HONEY AMBER EXTRA LIGHT,WEST CRK,IPAP PURE SWEET HONEY FAR,PFG,1/5 LB,HONEY/JELLY/SPREADS/SYRUP,17.77,,,35.54,1,5,LB,5.0,weight,3.554,
"Water, Spring Plastic Bottle Special Print",Kala Falls,Niagara Bottling Llc,US Foods,24/16.9 OZ,Beverage (16),6.67,+4.3%,+4.3%,35.26,24,16.9,OZ,25.35,weight,0.2631,
ONION PWDR,ROMA,REMA FOODS INC,PFG,1/5 LB,SPICE/EXTRACT/FOOD COLOR,33.25,,,33.25,1,5,LB,5.0,weight,6.65,
CONT PLAS 24 OZ RND BLK COMBO,FORMAN,FORMAN INC,PFG,1/150 CT,CARTONS/CONTAINERS/TRAYS,31.66,,,31.66,1,150,CT,,count,,
"Container, 8 Oz Round 1 Cmpt Polypropylene Deli Clear Carry-Out Plastic",Valu Plus,Valu Plus,US Foods,10/50 EA,Disposables (24),30.13,,,30.13,10,50,EA,,count,,
"Spice, Oregano Leaf Dried Plastic Jug Shelf Stable Seasoning",Monarch,Monarch,US Foods,24 OZ,"Grocery, Dry (22)",29.19,,,29.19,1,24,OZ,1.5,weight,19.46,
ONION RED JUMBO,PEAK FRS,EAGLE EYE PRODUCE INC,PFG,1/25 LB,VEGETABLES FRESH,27.78,,,27.78,1,25,LB,25.0,weight,1.1112,
"Garlic, White Whole Clove Peeled Fresh Ref",Cross Valley Farms,Cross Valley Farms,US Foods,4/5 LB,"Produce, Fresh (25)",105.08,,,26.27,4,5,LB,20.0,weight,5.254,
"Flour, White Bread Unbleached Special Spring",King Arthur Flour,King Arthur Baking Co Inc,US Foods,50 LB,"Grocery, Dry (22)",24.37,,,24.37,1,50,LB,50.0,weight,0.4874,
"Horseradish, Prepared Ref",Monarch,Monarch,US Foods,4/1 GA,"Grocery, Ref & Fzn (26)",84.92,,,21.23,4,1,GA,,volume,,
"Cucumber, Large English Seedless Hot House Bulk Fresh Ref",Packer,Multiple Sources,US Foods,12 EA,"Produce, Fresh (25)",18.99,,,18.99,1,12,EA,,count,,
BASE BEEF NO MSG JAR,RDGCRST,IPAP VANEE FOODS COMPANY,PFG,1/1 LB,SAUCES PREPARED/BASES DRY,9.72,+4.9%,+4.9%,18.57,1,1,LB,1.0,weight,9.72,
MINT FRSH,PEAK FRS,RUBY CO EUREKA,PFG,1/1 LB,HERBS FRESH,17.88,,,17.88,1,1,LB,1.0,weight,17.88,
CEL-RAY DR. BROWNS,Boar's Head,,Delmar Provisions,,EA,16.95,,,16.95,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
THYME FRSH,PEAK FRS,RUBY CO EUREKA,PFG,1/4 OZ,HERBS FRESH,16.54,,,16.54,1,4,OZ,0.25,weight,66.16,HIGH_PPL_REVIEW
DIET CHERRY DR. BROWNS,,,Delmar Provisions,,,16.5,,,16.5,,,,,,,NO_PACK_SIZE|BROKER_DIRECT
"Basil, Fresh Herb",Cross Valley Farms,Cross Valley Farms,US Foods,1 LB,"Produce, Fresh (25)",16.08,,,16.08,1,1,LB,1.0,weight,16.08,
EGG WHI MED AA LOOSE,NTRSBST,KREIDER FARMS DAIRY DIV,PFG,1/15 DZ,EGGS IN SHELL,12.09,,,12.09,1,15,DZ,,count,,
STRAWBERRIES FRSH,PACKER,RUBY ROBINSON PETE PAPPAS,PFG,2/1 LB,FRUITS FRESH,11.41,,,11.41,2,1,LB,2.0,weight,5.705,
"Spice, Chive Chopped Plastic Shaker Shelf Stable Seasoning",Monarch,Monarch,US Foods,6/1.12 OZ,"Grocery, Dry (22)",9.72,,,9.72,6,1.12,OZ,0.42,weight,23.1429,HIGH_PPL_REVIEW
WRAP WAX PAPER 15X10.75 WHI,SLVR SRC,NOVOLEX BAGCRAFT INC,PFG,1/500 CT,BAGS/WRAPS/FILTERS,8.97,,,8.97,1,500,CT,,count,,
