product,vendor,pack_size,nominal_lbs,actual_lbs_per_case,actual_over_nominal,price_per_lb,case_price,weight_source,total_spend
CEL-RAY DR. BROWNS,Delmar Provisions,—,,1.0,,16.95,16.95,assumed_default_1lb,16.95
THYME FRSH,PFG,1/4 OZ,0.25,0.47,1.88,35.19,16.54,invoice_catch_weight,16.54
DIET CHERRY DR. BROWNS,Delmar Provisions,—,,1.0,,16.5,16.5,assumed_default_1lb,16.5
VINEGAR WHI DISTILLED 40 GRAIN,PFG,4/1 GA,33.36,35.761,1.072,0.46,16.45,invoice_catch_weight,16.45
"Basil, Fresh Herb",US Foods,1 LB,1.0,1.0,1.0,16.08,16.08,assumed_default_1lb,16.08
VINEGAR APPLE CIDER 5% ACIDITY,PFG,1/1 GA,8.34,9.197,1.103,0.71,6.53,invoice_catch_weight,13.06
EGG WHI MED AA LOOSE,PFG,1/15 DZ,,21.589,,0.56,12.09,invoice_catch_weight,12.09
STRAWBERRIES FRSH,PFG,2/1 LB,2.0,2.502,1.251,4.56,11.41,invoice_catch_weight,11.41
"Spice, Chive Chopped Plastic Shaker Shelf Stable Seasoning",US Foods,6/1.12 OZ,0.42,0.07,0.167,138.86,9.72,invoice_catch_weight,9.72
"Sour Cream, Cultured All Natural Rbst Free Tub Ref",US Foods,4/5 LB,20.0,20.048,1.002,1.7,34.08,invoice_catch_weight,8.52
Deer Park Loose,Delmar Provisions,—,,1.0,,8.5,8.5,assumed_default_1lb,8.5
WRAP DELI PAPER WAX 12X10.75,PFG,1/500 CT,,2.752,,2.46,6.77,invoice_catch_weight,6.77
"Glove, Vinyl Medium Powder-Free Natural Ambidextrous",US Foods,10/100 EA,,9.9,,5.91,58.5,invoice_catch_weight,5.85
